node_id,route_order,route_index,route_t,distance_to_route,zone_id,coord,x,y,ore_id,ore_type,source_node_id
1,0,0,0.0,0.0,5,5150300000,51.5,30.0,201,Copper,1716
2,1,1,0.0,0.0,5,5040330000,50.4,33.0,201,Copper,1708
3,2,2,0.0,0.0,5,5290366000,52.9,36.6,201,Copper,1729
4,3,3,0.0,0.0,5,5310458000,53.1,45.8,201,Copper,1733
5,4,4,0.0,0.0,5,5140554000,51.4,55.4,201,Copper,1714
6,5,5,0.0,0.0,5,5260593000,52.6,59.3,201,Copper,1725
7,6,6,0.0,0.0,5,5500597000,55.0,59.7,201,Copper,1749
8,7,7,0.0,0.0,5,5550632000,55.5,63.2,201,Copper,1752
9,8,8,0.0,0.0,5,5050631000,50.5,63.1,201,Copper,1710
10,9,9,0.0,0.0,5,5430670000,54.3,67.0,201,Copper,1740
11,10,10,0.0,0.0,5,5570669000,55.7,66.9,201,Copper,1753
12,11,11,0.0,0.0,5,6160657000,61.6,65.7,201,Copper,1767
13,12,12,0.0,0.0,5,6010618000,60.1,61.8,201,Copper,1763
14,13,13,0.0,0.0,5,6110601000,61.1,60.1,201,Copper,1766
15,14,14,0.0,0.0,5,6040556000,60.4,55.6,201,Copper,1764
16,15,15,0.0,0.0,5,6090493000,60.9,49.3,201,Copper,1765
17,16,16,0.0,0.0,5,5920411000,59.2,41.1,201,Copper,1759
18,17,17,0.0,0.0,5,5690412000,56.9,41.2,201,Copper,1758
19,18,18,0.0,0.0,5,5630394000,56.3,39.4,201,Copper,1755
20,19,19,0.0,0.0,5,5510358000,55.1,35.8,201,Copper,1750
21,20,20,0.0,0.0,5,5280329000,52.8,32.9,201,Copper,1728
