node_id,route_order,route_index,route_t,distance_to_route,zone_id,coord,x,y,ore_id,ore_type,source_node_id
1,0,1,0.7972,1.0976,5,4820311000,48.2,31.1,201,Copper,1690
2,1,2,0.595,0.4033,5,5040330000,50.4,33.0,201,Copper,1708
3,2,2,1.0,1.7426,5,4950359000,49.5,35.9,201,Copper,1698
4,3,3,1.0,1.8201,5,5280329000,52.8,32.9,201,Copper,1728
5,4,4,0.2551,1.3942,5,5290366000,52.9,36.6,201,Copper,1729
6,5,4,0.5234,0.4726,5,5510358000,55.1,35.8,201,Copper,1750
7,6,5,0.3582,1.7079,5,5630394000,56.3,39.4,201,Copper,1755
8,7,7,0.0726,0.5064,5,5920411000,59.2,41.1,201,Copper,1759
9,8,10,0.8832,0.7556,5,6090493000,60.9,49.3,201,Copper,1765
10,9,16,0.3296,1.8398,5,5140554000,51.4,55.4,201,Copper,1714
11,10,17,0.2036,1.7937,5,5260593000,52.6,59.3,201,Copper,1725
12,11,19,0.0519,1.5622,5,4790613000,47.9,61.3,201,Copper,1687
13,12,19,0.1896,1.5552,5,5050631000,50.5,63.1,201,Copper,1710
14,13,19,0.4236,1.5557,5,4730626000,47.3,62.6,201,Copper,1672
15,14,19,0.8391,0.2563,5,4780646000,47.8,64.6,201,Copper,1685
16,15,19,0.9694,1.5671,5,4640645000,46.4,64.5,201,Copper,1649
17,16,20,0.1834,1.3245,5,4680665000,46.8,66.5,201,Copper,1655
18,17,20,0.417,0.1102,5,4830671000,48.3,67.1,201,Copper,1692
19,18,20,0.6407,1.4253,5,4740685000,47.4,68.5,201,Copper,1674
20,19,21,0.7036,0.8722,5,4930713000,49.3,71.3,202,Tin,1771
21,20,23,0.6979,1.4996,5,5040745000,50.4,74.5,201,Copper,1709
22,21,24,0.6857,1.7627,5,4830780000,48.3,78.0,201,Copper,1693
23,22,24,0.7436,0.067,5,5000781000,50.0,78.1,201,Copper,1707
24,23,25,0.9934,0.8344,5,4800797000,48.0,79.7,201,Copper,1689
25,24,26,0.227,0.7058,5,4920809000,49.2,80.9,201,Copper,1697
26,25,34,0.525,1.726,5,4560740000,45.6,74.0,201,Copper,1631
27,26,34,0.5467,0.9737,5,4290740000,42.9,74.0,201,Copper,1529
28,27,34,0.8462,0.4354,5,4430734000,44.3,73.4,201,Copper,1592
29,28,34,1.0,1.4811,5,4510723000,45.1,72.3,201,Copper,1613
30,29,35,1.0,0.9913,5,4160728000,41.6,72.8,201,Copper,1475
31,30,36,0.3296,0.3364,5,4260712000,42.6,71.2,201,Copper,1510
32,31,36,0.3711,1.5696,5,4070714000,40.7,71.4,201,Copper,1450
33,32,36,1.0,0.756,5,4130687000,41.3,68.7,201,Copper,1467
34,33,36,1.0,1.9338,5,4000688000,40.0,68.8,201,Copper,1433
35,34,38,0.5204,1.8335,5,4510710000,45.1,71.0,201,Copper,1612
36,35,38,0.9561,0.8127,5,4570698000,45.7,69.8,201,Copper,1634
37,36,40,0.3361,0.2611,5,4410642000,44.1,64.2,201,Copper,1583
38,37,40,0.3585,1.166,5,4540636000,45.4,63.6,201,Copper,1621
39,38,40,0.811,1.3897,5,4220623000,42.2,62.3,201,Copper,1492
40,39,40,0.87,0.1064,5,4350615000,43.5,61.5,201,Copper,1556
41,40,41,0.0323,0.9668,5,4220608000,42.2,60.8,201,Copper,1490
42,41,41,0.6455,0.2011,5,4330582000,43.3,58.2,201,Copper,1545
43,42,41,0.658,1.7982,5,4130582000,41.3,58.2,201,Copper,1465
44,43,41,0.9411,1.2669,5,4180570000,41.8,57.0,201,Copper,1481
45,44,42,0.0587,0.6122,5,4370566000,43.7,56.6,201,Copper,1567
46,45,42,0.1446,1.9777,5,4510565000,45.1,56.5,201,Copper,1611
47,46,42,0.3639,0.3871,5,4290553000,42.9,55.3,201,Copper,1523
48,47,42,0.3976,1.0107,5,4430554000,44.3,55.4,201,Copper,1590
49,48,42,0.6256,1.1568,5,4230542000,42.3,54.2,201,Copper,1496
50,49,42,0.7413,0.8996,5,4440541000,44.4,54.1,201,Copper,1593
51,50,42,1.0,1.2446,5,4490528000,44.9,52.8,201,Copper,1602
52,51,43,0.0794,0.6822,5,4290530000,42.9,53.0,201,Copper,1521
53,52,43,0.2701,0.4637,5,4350517000,43.5,51.7,201,Copper,1553
54,53,44,1.0,1.9712,5,4460478000,44.6,47.8,201,Copper,1595
55,54,48,1.0,0.1712,5,4340396000,43.4,39.6,201,Copper,1550
56,55,50,0.3988,0.4529,5,4240381000,42.4,38.1,201,Copper,1499
57,56,52,0.2668,1.4231,5,4380346000,43.8,34.6,201,Copper,1571
58,57,52,0.9397,1.187,5,4090339000,40.9,33.9,201,Copper,1457
59,58,54,0.5864,0.1799,5,4590314000,45.9,31.4,201,Copper,1639
