map_id,tile_x,tile_y,map_file,mmtile_file,vmtile_file,map_present,mmtile_present,vmtile_present,map_size,mmtile_size,vmtile_size
1,32,35,0013235.map,0013235.mmtile,001_32_35.vmtile,True,True,True,67694,428844,9147
1,32,36,0013236.map,0013236.mmtile,001_32_36.vmtile,True,True,True,67462,629916,30894
1,33,36,0013336.map,0013336.mmtile,001_33_36.vmtile,True,True,True,68518,825668,8874
1,33,37,0013337.map,0013337.mmtile,001_33_37.vmtile,True,True,True,67142,359040,16809
1,33,38,0013338.map,0013338.mmtile,001_33_38.vmtile,True,True,True,67486,592144,6031
1,34,38,0013438.map,0013438.mmtile,001_34_38.vmtile,True,True,True,66630,702204,3985
1,34,39,0013439.map,0013439.mmtile,001_34_39.vmtile,True,True,True,131398,500452,5944
1,35,38,0013538.map,0013538.mmtile,001_35_38.vmtile,True,True,True,66630,992304,11517
1,35,37,0013537.map,0013537.mmtile,001_35_37.vmtile,True,True,True,66630,573944,3740
1,36,37,0013637.map,0013637.mmtile,001_36_37.vmtile,True,True,True,81950,835392,9707
1,36,36,0013636.map,0013636.mmtile,001_36_36.vmtile,True,True,True,66630,431856,11686
1,37,36,0013736.map,0013736.mmtile,001_37_36.vmtile,True,True,True,66630,637124,21154
1,38,36,0013836.map,0013836.mmtile,001_38_36.vmtile,True,True,True,67438,567164,37963
1,39,36,0013936.map,0013936.mmtile,001_39_36.vmtile,True,True,True,67142,956484,26806
1,39,35,0013935.map,0013935.mmtile,001_39_35.vmtile,True,True,True,66630,557164,17609
1,39,34,0013934.map,0013934.mmtile,001_39_34.vmtile,True,True,True,68206,443216,31794
1,38,35,0013835.map,0013835.mmtile,001_38_35.vmtile,True,True,True,67934,490384,49182
1,37,35,0013735.map,0013735.mmtile,001_37_35.vmtile,True,True,True,66630,550544,16425
1,36,35,0013635.map,0013635.mmtile,001_36_35.vmtile,True,True,True,66630,529984,12451
1,35,35,0013535.map,0013535.mmtile,001_35_35.vmtile,True,True,True,66630,532428,18001
1,35,34,0013534.map,0013534.mmtile,001_35_34.vmtile,True,True,True,67142,961012,11285
1,34,34,0013434.map,0013434.mmtile,001_34_34.vmtile,True,True,True,66630,825236,66864
1,34,35,0013435.map,0013435.mmtile,001_34_35.vmtile,True,True,True,69462,400500,58478
1,33,35,0013335.map,0013335.mmtile,001_33_35.vmtile,True,True,True,73638,670392,70085
1,33,34,0013334.map,0013334.mmtile,001_33_34.vmtile,True,True,True,67142,864620,75630
