node_id,route_order,route_index,route_t,distance_to_route,zone_id,coord,x,y,ore_id,ore_type,source_node_id
1,0,0,0.0,0.0,102,4980055000,49.8,5.5,203,Iron,7708
2,1,1,0.0,0.0,102,5190076000,51.9,7.6,203,Iron,7712
3,2,2,0.0,0.0,102,5280096000,52.8,9.6,203,Iron,7713
4,3,3,0.0,0.0,102,5880080000,58.8,8.0,201,Copper,7650
5,4,4,0.0,0.0,102,5950109000,59.5,10.9,202,Tin,7663
6,5,5,0.0,0.0,102,6170138000,61.7,13.8,203,Iron,7728
7,6,6,0.0,0.0,102,6530189000,65.3,18.9,201,Copper,7651
8,7,7,0.0,0.0,102,6570215000,65.7,21.5,201,Copper,7652
9,8,8,0.0,0.0,102,6790218000,67.9,21.8,201,Copper,7653
10,9,9,0.0,0.0,102,7270244000,72.7,24.4,201,Copper,7654
11,10,10,0.0,0.0,102,7390202000,73.9,20.2,203,Iron,7752
12,11,11,0.0,0.0,102,6960161000,69.6,16.1,202,Tin,7667
13,12,12,0.0,0.0,102,7520109000,75.2,10.9,206,Mithril,7802
14,13,13,0.0,0.0,102,7780194000,77.8,19.4,204,Silver,7760
15,14,14,0.0,0.0,102,7880283000,78.8,28.3,208,Truesilver,7810
16,15,15,0.0,0.0,102,7690282000,76.9,28.2,203,Iron,7757
17,16,16,0.0,0.0,102,7730301000,77.3,30.1,203,Iron,7758
18,17,17,0.0,0.0,102,7450362000,74.5,36.2,203,Iron,7753
19,18,18,0.0,0.0,102,7250408000,72.5,40.8,203,Iron,7750
20,19,19,0.0,0.0,102,7520424000,75.2,42.4,203,Iron,7755
21,20,20,0.0,0.0,102,7480450000,74.8,45.0,203,Iron,7754
22,21,21,0.0,0.0,102,7120455000,71.2,45.5,203,Iron,7749
23,22,22,0.0,0.0,102,7540498000,75.4,49.8,203,Iron,7756
24,23,23,0.0,0.0,102,7900543000,79.0,54.3,204,Silver,7761
25,24,24,0.0,0.0,102,7220571000,72.2,57.1,202,Tin,7669
